Date / Time,"Gageheight,  feet, "," Dis-charge, ft3/s, ","Turbid-  ity, IR LED light,det ang90 deg,  FNU, "
05/27/2018 00:00   EST,11.57P  ,295P  ,10.4A  
05/27/2018 00:15   EST,11.56P  ,292P  ,10.4A  
05/27/2018 00:30   EST,11.55P  ,289P  ,10.5A  
05/27/2018 00:45   EST,11.56P  ,292P  ,10.5A  
05/27/2018 01:00   EST,11.56P  ,292P  ,10.6A  
05/27/2018 01:15   EST,11.56P  ,292P  ,10.4A  
05/27/2018 01:30   EST,11.55P  ,289P  ,10.8A  
05/27/2018 01:45   EST,11.56P  ,292P  ,10.4A  
05/27/2018 02:00   EST,11.55P  ,289P  ,10.6A  
05/27/2018 02:15   EST,11.56P  ,292P  ,10.5A  
05/27/2018 02:30   EST,11.55P  ,289P  ,10.5A  
05/27/2018 02:45   EST,11.55P  ,289P  ,10.7A  
05/27/2018 03:00   EST,11.55P  ,289P  ,10.9A  
05/27/2018 03:15   EST,11.55P  ,289P  ,10.9A  
05/27/2018 03:30   EST,11.54P  ,286P  ,10.8A  
05/27/2018 03:45   EST,11.53P  ,282P  ,10.7A  
05/27/2018 04:00   EST,11.54P  ,286P  ,10.9A  
05/27/2018 04:15   EST,11.54P  ,286P  ,11.1A  
05/27/2018 04:30   EST,11.55P  ,289P  ,11.0A  
05/27/2018 04:45   EST,11.53P  ,282P  ,11.0A  
05/27/2018 05:00   EST,11.53P  ,282P  ,11.2A  
05/27/2018 05:15   EST,11.53P  ,282P  ,11.0A  
05/27/2018 05:30   EST,11.52P  ,279P  ,10.7A  
05/27/2018 05:45   EST,11.53P  ,282P  ,10.7A  
05/27/2018 06:00   EST,11.52P  ,279P  ,10.8A  
05/27/2018 06:15   EST,11.53P  ,282P  ,10.8A  
05/27/2018 06:30   EST,11.53P  ,282P  ,10.7A  
05/27/2018 06:45   EST,11.52P  ,279P  ,10.6A  
05/27/2018 07:00   EST,11.53P  ,282P  ,10.5A  
05/27/2018 07:15   EST,11.52P  ,279P  ,10.4A  
05/27/2018 07:30   EST,11.53P  ,282P  ,10.4A  
05/27/2018 07:45   EST,11.53P  ,282P  ,10.3A  
05/27/2018 08:00   EST,11.52P  ,279P  ,9.9A  
05/27/2018 08:15   EST,11.52P  ,279P  ,9.8A  
05/27/2018 08:30   EST,11.52P  ,279P  ,9.5A  
05/27/2018 08:45   EST,11.52P  ,279P  ,9.8A  
05/27/2018 09:00   EST,11.52P  ,279P  ,9.4A  
05/27/2018 09:15   EST,11.52P  ,279P  ,10.0A  
05/27/2018 09:30   EST,11.52P  ,279P  ,9.6A  
05/27/2018 09:45   EST,11.52P  ,279P  ,9.5A  
05/27/2018 10:00   EST,11.52P  ,279P  ,9.3A  
05/27/2018 10:15   EST,11.52P  ,279P  ,9.3A  
05/27/2018 10:30   EST,11.52P  ,279P  ,9.0A  
05/27/2018 10:45   EST,11.51P  ,276P  ,9.1A  
05/27/2018 11:00   EST,11.50P  ,273P  ,8.7A  
05/27/2018 11:15   EST,11.51P  ,276P  ,8.8A  
05/27/2018 11:30   EST,11.51P  ,276P  ,8.6A  
05/27/2018 11:45   EST,11.51P  ,276P  ,8.5A  
05/27/2018 12:00   EST,11.51P  ,276P  ,8.5A  
05/27/2018 12:15   EST,11.52P  ,279P  ,8.6A  
05/27/2018 12:30   EST,11.52P  ,279P  ,8.4A  
05/27/2018 12:45   EST,11.51P  ,276P  ,8.3A  
05/27/2018 13:00   EST,11.52P  ,279P  ,8.5A  
05/27/2018 13:15   EST,11.51P  ,276P  ,8.4A  
05/27/2018 13:30   EST,11.51P  ,276P  ,8.5A  
05/27/2018 13:45   EST,11.52P  ,279P  ,8.5A  
05/27/2018 14:00   EST,11.51P  ,276P  ,9.0A  
05/27/2018 14:15   EST,11.51P  ,276P  ,9.0A  
05/27/2018 14:30   EST,11.50P  ,273P  ,8.3A  
05/27/2018 14:45   EST,11.63P  ,314P  ,2020A  
05/27/2018 15:00   EST,13.56P  ,"1,040P  ",   
05/27/2018 15:15   EST,17.36P  ,"4,150P  ",1990A  
05/27/2018 15:30   EST,20.63P  ,"12,800P  ",1950A  
05/27/2018 15:45   EST,24.16P  ,"22,100P  ",2350A  
05/27/2018 15:52   EST,27.16P,"25,500P",   
05/27/2018 16:00   EST,27.01P  ,"25,400P  ",   
05/27/2018 16:15   EST,26.18P  ,"19,600P  ",2270A  
05/27/2018 16:30   EST,24.78P  ,"17,600P  ",2090A  
05/27/2018 16:45   EST,23.46P  ,"15,600P  ",1660A  
05/27/2018 17:00   EST,23.40P  ,"15,500P  ",   
05/27/2018 17:15   EST,25.07P  ,"18,000P  ",1790A  
05/27/2018 17:30   EST,25.58P  ,"18,700P  ",1850A  
05/27/2018 17:45   EST,24.46P  ,"17,200P  ",1570A  
05/27/2018 18:00   EST,23.12P  ,"15,000P  ",   
05/27/2018 18:15   EST,21.99P  ,"13,300P  ",1350A  
05/27/2018 18:30   EST,21.05P  ,"11,100P  ",1290A  
05/27/2018 18:45   EST,20.57P  ,"9,960P  ",1240A  
05/27/2018 19:00   EST,20.01P  ,"8,730P  ",1080A  
05/27/2018 19:15   EST,19.35P  ,"7,440P  ",967A  
05/27/2018 19:30   EST,18.75P  ,"6,370P  ",852A  
05/27/2018 19:45   EST,18.25P  ,"5,550P  ",   
05/27/2018 20:00   EST,17.79P  ,"4,880P  ",1090A  
05/27/2018 20:15   EST,17.47P  ,"4,460P  ",998A  
05/27/2018 20:30   EST,17.28P  ,"4,220P  ",798A  
05/27/2018 20:45   EST,17.17P  ,"4,080P  ",641A  
05/27/2018 21:00   EST,17.21P  ,"4,130P  ",682A  
05/27/2018 21:15   EST,17.49P  ,"4,480P  ",827A  
05/27/2018 21:30   EST,18.05P  ,"5,240P  ",1070A  
05/27/2018 21:45   EST,18.50P  ,"5,950P  ",1250A  
05/27/2018 22:00   EST,18.85P  ,"6,540P  ",   
05/27/2018 22:15   EST,19.18P  ,"7,120P  ",1400A  
05/27/2018 22:30   EST,19.27P  ,"7,290P  ",1440A  
05/27/2018 22:45   EST,19.39P  ,"7,510P  ",1890A  
05/27/2018 23:00   EST,19.44P  ,"7,610P  ",   
05/27/2018 23:15   EST,19.46P  ,"7,640P  ",2010A  
05/27/2018 23:30   EST,19.43P  ,"7,590P  ",2050A  
05/27/2018 23:45   EST,19.39P  ,"7,510P  ",2170A  
05/28/2018 00:00   EST,19.29P  ,"7,320P  ",   
05/28/2018 00:15   EST,19.18P  ,"7,120P  ",2130A  
05/28/2018 00:30   EST,19.08P  ,"6,940P  ",2070A  
05/28/2018 00:45   EST,18.91P  ,"6,640P  ",1980A  
05/28/2018 01:00   EST,18.73P  ,"6,330P  ",   
05/28/2018 01:15   EST,18.55P  ,"6,030P  ",1920A  
05/28/2018 01:30   EST,18.33P  ,"5,670P  ",1870A  
05/28/2018 01:45   EST,18.12P  ,"5,350P  ",1730A  
05/28/2018 02:00   EST,17.90P  ,"5,020P  ",   
05/28/2018 02:15   EST,17.70P  ,"4,750P  ",1650A  
05/28/2018 02:30   EST,17.49P  ,"4,480P  ",1580A  
05/28/2018 02:45   EST,17.29P  ,"4,230P  ",1350A  
05/28/2018 03:00   EST,17.08P  ,"3,970P  ",   
05/28/2018 03:15   EST,16.86P  ,"3,710P  ",1320A  
05/28/2018 03:30   EST,16.65P  ,"3,480P  ",1250A  
05/28/2018 03:45   EST,16.41P  ,"3,220P  ",1160A  
05/28/2018 04:00   EST,16.19P  ,"2,990P  ",   
05/28/2018 04:15   EST,15.99P  ,"2,790P  ",1130A  
05/28/2018 04:30   EST,15.82P  ,"2,630P  ",1120A  
05/28/2018 04:45   EST,15.64P  ,"2,460P  ",1080A  
05/28/2018 05:00   EST,15.48P  ,"2,320P  ",   
05/28/2018 05:15   EST,15.33P  ,"2,180P  ",1060A  
05/28/2018 05:30   EST,15.16P  ,"2,020P  ",1050A  
05/28/2018 05:45   EST,15.05P  ,"1,930P  ",1020A  
05/28/2018 06:00   EST,14.93P  ,"1,830P  ",977A  
05/28/2018 06:15   EST,14.85P  ,"1,760P  ",942A  
05/28/2018 06:30   EST,14.75P  ,"1,680P  ",909A  
05/28/2018 06:45   EST,14.67P  ,"1,620P  ",861A  
05/28/2018 07:00   EST,14.60P  ,"1,570P  ",838A  
05/28/2018 07:15   EST,14.53P  ,"1,520P  ",784A  
05/28/2018 07:30   EST,14.48P  ,"1,480P  ",752A  
05/28/2018 07:45   EST,14.42P  ,"1,440P  ",719A  
05/28/2018 08:00   EST,14.36P  ,"1,400P  ",698A  
05/28/2018 08:15   EST,14.31P  ,"1,360P  ",671A  
05/28/2018 08:30   EST,14.27P  ,"1,330P  ",642A  
05/28/2018 08:45   EST,14.22P  ,"1,300P  ",627A  
05/28/2018 09:00   EST,14.18P  ,"1,270P  ",595A  
05/28/2018 09:15   EST,14.15P  ,"1,250P  ",568A  
05/28/2018 09:30   EST,14.12P  ,"1,230P  ",547A  
05/28/2018 09:45   EST,14.09P  ,"1,210P  ",527A  
05/28/2018 10:00   EST,14.04P  ,"1,180P  ",498A  
05/28/2018 10:15   EST,14.01P  ,"1,160P  ",480A  
05/28/2018 10:30   EST,13.97P  ,"1,140P  ",461A  
05/28/2018 10:45   EST,13.94P  ,"1,130P  ",447A  
05/28/2018 11:00   EST,13.91P  ,"1,110P  ",419A  
05/28/2018 11:15   EST,13.89P  ,"1,090P  ",406A  
05/28/2018 11:30   EST,13.86P  ,"1,070P  ",381A  
05/28/2018 11:45   EST,13.82P  ,"1,050P  ",361A  
05/28/2018 12:00   EST,13.79P  ,"1,030P  ",344A  
05/28/2018 12:15   EST,13.78P  ,"1,020P  ",330A  
05/28/2018 12:30   EST,13.76P  ,"1,010P  ",324A  
05/28/2018 12:45   EST,13.74P  ,998P  ,304A  
05/28/2018 13:00   EST,13.72P  ,985P  ,289A  
05/28/2018 13:15   EST,13.70P  ,973P  ,276A  
05/28/2018 13:30   EST,13.69P  ,967P  ,269A  
05/28/2018 13:45   EST,13.67P  ,955P  ,255A  
05/28/2018 14:00   EST,13.64P  ,937P  ,250A  
05/28/2018 14:15   EST,13.62P  ,925P  ,239A  
05/28/2018 14:30   EST,13.61P  ,919P  ,225A  
05/28/2018 14:45   EST,13.59P  ,907P  ,213A  
05/28/2018 15:00   EST,13.57P  ,896P  ,208A  
05/28/2018 15:15   EST,13.55P  ,884P  ,197A  
05/28/2018 15:30   EST,13.54P  ,878P  ,188A  
05/28/2018 15:45   EST,13.53P  ,873P  ,180A  
05/28/2018 16:00   EST,13.51P  ,861P  ,175A  
05/28/2018 16:15   EST,13.50P  ,856P  ,169A  
05/28/2018 16:30   EST,13.48P  ,844P  ,160A  
05/28/2018 16:45   EST,13.46P  ,833P  ,154A  
05/28/2018 17:00   EST,13.45P  ,828P  ,151A  
05/28/2018 17:15   EST,13.44P  ,822P  ,146A  
05/28/2018 17:30   EST,13.42P  ,810P  ,140A  
05/28/2018 17:45   EST,13.40P  ,797P  ,136A  
05/28/2018 18:00   EST,13.39P  ,791P  ,134A  
05/28/2018 18:15   EST,13.38P  ,785P  ,126A  
05/28/2018 18:30   EST,13.37P  ,779P  ,126A  
05/28/2018 18:45   EST,13.36P  ,772P  ,123A  
05/28/2018 19:00   EST,13.35P  ,766P  ,117A  
05/28/2018 19:15   EST,13.33P  ,754P  ,112A  
05/28/2018 19:30   EST,13.33P  ,754P  ,111A  
05/28/2018 19:45   EST,13.32P  ,748P  ,110A  
05/28/2018 20:00   EST,13.30P  ,736P  ,104A  
05/28/2018 20:15   EST,13.29P  ,730P  ,102A  
05/28/2018 20:30   EST,13.29P  ,730P  ,98.6A  
05/28/2018 20:45   EST,13.28P  ,724P  ,96.7A  
05/28/2018 21:00   EST,13.27P  ,718P  ,94.0A  
05/28/2018 21:15   EST,13.26P  ,713P  ,92.1A  
05/28/2018 21:30   EST,13.25P  ,707P  ,92.2A  
05/28/2018 21:45   EST,13.23P  ,695P  ,88.6A  
05/28/2018 22:00   EST,13.23P  ,695P  ,91.1A  
05/28/2018 22:15   EST,13.22P  ,690P  ,86.9A  
05/28/2018 22:30   EST,13.20P  ,678P  ,81.9A  
05/28/2018 22:45   EST,13.20P  ,678P  ,80.7A  
05/28/2018 23:00   EST,13.18P  ,667P  ,79.7A  
05/28/2018 23:15   EST,13.17P  ,662P  ,79.6A  
05/28/2018 23:30   EST,13.17P  ,662P  ,78.3A  
05/28/2018 23:45   EST,13.16P  ,656P  ,75.8A  
05/29/2018 00:00   EST,13.14P  ,645P  ,72.5A  
05/29/2018 00:15   EST,13.14P  ,645P  ,72.5A  
05/29/2018 00:30   EST,13.13P  ,640P  ,72.8A  
05/29/2018 00:45   EST,13.12P  ,634P  ,70.3A  
05/29/2018 01:00   EST,13.11P  ,629P  ,68.7A  
05/29/2018 01:15   EST,13.10P  ,624P  ,68.1A  
05/29/2018 01:30   EST,13.09P  ,618P  ,67.1A  
05/29/2018 01:45   EST,13.09P  ,618P  ,65.3A  
05/29/2018 02:00   EST,13.08P  ,613P  ,64.8A  
05/29/2018 02:15   EST,13.08P  ,613P  ,64.5A  
05/29/2018 02:30   EST,13.06P  ,602P  ,63.4A  
05/29/2018 02:45   EST,13.04P  ,592P  ,62.3A  
05/29/2018 03:00   EST,13.05P  ,597P  ,62.5A  
05/29/2018 03:15   EST,13.05P  ,597P  ,61.3A  
05/29/2018 03:30   EST,13.03P  ,587P  ,59.7A  
05/29/2018 03:45   EST,13.01P  ,577P  ,59.3A  
05/29/2018 04:00   EST,13.02P  ,582P  ,58.7A  
05/29/2018 04:15   EST,13.01P  ,577P  ,59.8A  
05/29/2018 04:30   EST,13.00P  ,572P  ,58.6A  
05/29/2018 04:45   EST,12.99P  ,567P  ,57.3A  
05/29/2018 05:00   EST,12.99P  ,567P  ,57.0A  
05/29/2018 05:15   EST,12.98P  ,562P  ,56.4A  
05/29/2018 05:30   EST,12.98P  ,562P  ,56.0A  
05/29/2018 05:45   EST,12.97P  ,557P  ,55.7A  
05/29/2018 06:00   EST,12.96P  ,552P  ,54.5A  
05/29/2018 06:15   EST,12.95P  ,547P  ,53.8A  
05/29/2018 06:30   EST,12.95P  ,547P  ,53.9A  
05/29/2018 06:45   EST,12.93P  ,537P  ,54.9A  
05/29/2018 07:00   EST,12.93P  ,537P  ,52.0A  
05/29/2018 07:15   EST,12.92P  ,532P  ,52.6A  
05/29/2018 07:30   EST,12.93P  ,537P  ,51.7A  
05/29/2018 07:45   EST,12.90P  ,523P  ,52.6A  
05/29/2018 08:00   EST,12.86P  ,504P  ,51.5A  
05/29/2018 08:15   EST,12.84P  ,495P  ,51.5A  
05/29/2018 08:30   EST,12.84P  ,495P  ,49.9A  
05/29/2018 08:45   EST,12.85P  ,499P  ,52.6A  
05/29/2018 09:00   EST,12.82P  ,486P  ,59.6A  
05/29/2018 09:15   EST,12.85P  ,499P  ,58.2A  
05/29/2018 09:30   EST,12.88P  ,513P  ,65.1A  
05/29/2018 09:45   EST,12.88P  ,513P  ,50.9A  
05/29/2018 10:00   EST,12.87P  ,509P  ,47.7A  
05/29/2018 10:15   EST,12.87P  ,509P  ,53.3A  
05/29/2018 10:30   EST,12.86P  ,504P  ,48.5A  
05/29/2018 10:45   EST,12.86P  ,504P  ,47.5A  
05/29/2018 11:00   EST,12.86P  ,504P  ,46.3A  
05/29/2018 11:15   EST,12.87P  ,508P  ,47.8A  
05/29/2018 11:30   EST,12.91P  ,527P  ,45.3A  
05/29/2018 11:45   EST,12.94P  ,542P  ,43.4A  
05/29/2018 12:00   EST,12.94P  ,542P  ,43.3A  
05/29/2018 12:15   EST,12.94P  ,542P  ,43.1A  
05/29/2018 12:30   EST,12.94P  ,542P  ,42.1A  
05/29/2018 12:45   EST,12.93P  ,537P  ,42.0A  
05/29/2018 13:00   EST,12.92P  ,532P  ,42.6A  
05/29/2018 13:15   EST,12.99P  ,566P  ,44.0A  
05/29/2018 13:30   EST,13.01P  ,576P  ,44.2A  
05/29/2018 13:45   EST,13.01P  ,576P  ,43.8A  
05/29/2018 14:00   EST,13.00P  ,571P  ,42.6A  
05/29/2018 14:15   EST,12.99P  ,566P  ,44.3A  
05/29/2018 14:30   EST,12.99P  ,566P  ,42.1A  
05/29/2018 14:45   EST,12.98P  ,561P  ,40.7A  
05/29/2018 15:00   EST,13.00P  ,571P  ,39.0A  
05/29/2018 15:15   EST,13.05P  ,596P  ,38.8A  
05/29/2018 15:30   EST,13.04P  ,591P  ,39.5A  
05/29/2018 15:45   EST,13.04P  ,591P  ,39.5A  
05/29/2018 16:00   EST,13.03P  ,586P  ,38.7A  
05/29/2018 16:15   EST,13.03P  ,586P  ,38.4A  
05/29/2018 16:30   EST,13.03P  ,586P  ,45.5A  
05/29/2018 16:45   EST,13.01P  ,576P  ,38.9A  
05/29/2018 17:00   EST,13.01P  ,576P  ,35.8A  
05/29/2018 17:15   EST,13.01P  ,576P  ,35.9A  
05/29/2018 17:30   EST,13.00P  ,571P  ,35.6A  
05/29/2018 17:45   EST,13.00P  ,571P  ,36.5A  
05/29/2018 18:00   EST,12.99P  ,566P  ,34.6A  
05/29/2018 18:15   EST,12.98P  ,561P  ,34.4A  
05/29/2018 18:30   EST,12.98P  ,561P  ,34.7A  
05/29/2018 18:45   EST,12.97P  ,556P  ,33.6A  
05/29/2018 19:00   EST,12.97P  ,556P  ,33.2A  
05/29/2018 19:15   EST,12.97P  ,556P  ,33.5A  
05/29/2018 19:30   EST,12.96P  ,551P  ,34.3A  
05/29/2018 19:45   EST,12.96P  ,551P  ,33.1A  
05/29/2018 20:00   EST,12.95P  ,546P  ,33.0A  
05/29/2018 20:15   EST,12.94P  ,541P  ,34.0A  
05/29/2018 20:30   EST,12.93P  ,536P  ,33.2A  
05/29/2018 20:45   EST,12.93P  ,536P  ,32.2A  
05/29/2018 21:00   EST,12.93P  ,536P  ,32.3A  
05/29/2018 21:15   EST,12.92P  ,532P  ,30.9A  
05/29/2018 21:30   EST,12.92P  ,532P  ,31.2A  
05/29/2018 21:45   EST,12.92P  ,532P  ,30.3A  
05/29/2018 22:00   EST,12.91P  ,527P  ,30.2A  
05/29/2018 22:15   EST,12.91P  ,527P  ,30.3A  
05/29/2018 22:30   EST,12.90P  ,522P  ,31.0A  
05/29/2018 22:45   EST,12.90P  ,522P  ,30.1A  
05/29/2018 23:00   EST,12.90P  ,522P  ,29.4A  
05/29/2018 23:15   EST,12.89P  ,517P  ,29.6A  
05/29/2018 23:30   EST,12.89P  ,517P  ,29.3A  
05/29/2018 23:45   EST,12.88P  ,513P  ,29.3A  
05/30/2018 00:00   EST,12.88P  ,513P  ,28.8A  
05/30/2018 00:15   EST,12.87P  ,508P  ,29.2A  
05/30/2018 00:30   EST,12.87P  ,508P  ,29.0A  
05/30/2018 00:45   EST,12.87P  ,508P  ,29.0A  
05/30/2018 01:00   EST,12.86P  ,504P  ,28.3A  
05/30/2018 01:15   EST,12.86P  ,504P  ,28.5A  
05/30/2018 01:30   EST,12.85P  ,499P  ,28.0A  
05/30/2018 01:45   EST,12.85P  ,499P  ,29.9A  
05/30/2018 02:00   EST,12.84P  ,494P  ,29.1A  
05/30/2018 02:15   EST,12.84P  ,494P  ,28.6A  
05/30/2018 02:30   EST,12.83P  ,490P  ,28.5A  
05/30/2018 02:45   EST,12.82P  ,485P  ,28.5A  
05/30/2018 03:00   EST,12.82P  ,485P  ,28.3A  
05/30/2018 03:15   EST,12.82P  ,485P  ,27.6A  
05/30/2018 03:30   EST,12.82P  ,485P  ,28.4A  
05/30/2018 03:45   EST,12.81P  ,481P  ,27.6A  
05/30/2018 04:00   EST,12.80P  ,476P  ,28.2A  
05/30/2018 04:15   EST,12.80P  ,476P  ,28.5A  
05/30/2018 04:30   EST,12.80P  ,476P  ,28.6A  
05/30/2018 04:45   EST,12.80P  ,476P  ,28.0A  
05/30/2018 05:00   EST,12.79P  ,472P  ,27.5A  
05/30/2018 05:15   EST,12.79P  ,472P  ,27.1A  
05/30/2018 05:30   EST,12.78P  ,468P  ,27.4A  
05/30/2018 05:45   EST,12.78P  ,468P  ,26.9A  
05/30/2018 06:00   EST,12.78P  ,468P  ,26.4A  
05/30/2018 06:15   EST,12.77P  ,463P  ,26.8A  
05/30/2018 06:30   EST,12.77P  ,463P  ,25.9A  
05/30/2018 06:45   EST,12.77P  ,463P  ,25.5A  
05/30/2018 07:00   EST,12.76P  ,459P  ,25.6A  
05/30/2018 07:15   EST,12.76P  ,459P  ,26.1A  
05/30/2018 07:30   EST,12.86P  ,504P  ,25.1A  
05/30/2018 07:45   EST,12.89P  ,517P  ,25.3A  
05/30/2018 08:00   EST,13.01P  ,576P  ,25.6A  
05/30/2018 08:15   EST,13.02P  ,581P  ,25.5A  
05/30/2018 08:30   EST,12.93P  ,536P  ,24.8A  
05/30/2018 08:45   EST,12.68P  ,425P  ,25.2A  
05/30/2018 09:00   EST,12.71P  ,438P  ,26.8A  
05/30/2018 09:15   EST,12.81P  ,481P  ,25.9A  
05/30/2018 09:30   EST,12.74P  ,450P  ,25.5A  
05/30/2018 09:45   EST,12.80P  ,476P  ,26.1A  
05/30/2018 10:00   EST,12.85P  ,499P  ,24.4A  
05/30/2018 10:15   EST,12.96P  ,551P  ,23.8A  
05/30/2018 10:30   EST,12.93P  ,536P  ,24.9A  
05/30/2018 10:45   EST,12.91P  ,527P  ,26.2A  
05/30/2018 11:00   EST,12.91P  ,527P  ,26.0A  
05/30/2018 11:15   EST,12.93P  ,536P  ,26.7A  
05/30/2018 11:30   EST,12.84P  ,494P  ,27.1A  
05/30/2018 11:45   EST,12.82P  ,485P  ,25.2A  
05/30/2018 12:00   EST,12.85P  ,499P  ,23.6A  
05/30/2018 12:15   EST,12.82P  ,485P  ,24.3A  
05/30/2018 12:30   EST,12.81P  ,481P  ,24.2A  
05/30/2018 12:45   EST,12.81P  ,481P  ,23.0A  
05/30/2018 13:00   EST,12.81P  ,481P  ,22.4A  
05/30/2018 13:15   EST,12.80P  ,476P  ,22.3A  
05/30/2018 13:30   EST,12.80P  ,476P  ,22.0A  
05/30/2018 13:45   EST,12.80P  ,476P  ,21.3A  
05/30/2018 14:00   EST,12.79P  ,472P  ,23.1A  
05/30/2018 14:15   EST,12.79P  ,472P  ,29.6A  
05/30/2018 14:30   EST,12.79P  ,472P  ,27.7A  
05/30/2018 14:45   EST,12.79P  ,472P  ,25.3A  
05/30/2018 15:00   EST,12.78P  ,468P  ,23.5A  
05/30/2018 15:15   EST,12.78P  ,468P  ,22.3A  
05/30/2018 15:30   EST,12.79P  ,472P  ,22.3A  
05/30/2018 15:45   EST,12.77P  ,463P  ,23.4A  
05/30/2018 16:00   EST,12.77P  ,463P  ,25.3A  
05/30/2018 16:15   EST,12.79P  ,472P  ,25.1A  
05/30/2018 16:30   EST,12.79P  ,472P  ,24.8A  
05/30/2018 16:45   EST,12.77P  ,463P  ,24.7A  
05/30/2018 17:00   EST,12.77P  ,463P  ,23.9A  
05/30/2018 17:15   EST,12.77P  ,463P  ,23.5A  
05/30/2018 17:30   EST,12.76P  ,459P  ,24.5A  
05/30/2018 17:45   EST,12.75P  ,455P  ,29.7A  
05/30/2018 18:00   EST,12.75P  ,455P  ,28.2A  
05/30/2018 18:15   EST,12.75P  ,455P  ,24.2A  
05/30/2018 18:30   EST,12.74P  ,450P  ,22.2A  
05/30/2018 18:45   EST,12.74P  ,450P  ,21.8A  
05/30/2018 19:00   EST,12.73P  ,446P  ,21.3A  
05/30/2018 19:15   EST,12.74P  ,450P  ,20.8A  
05/30/2018 19:30   EST,12.73P  ,446P  ,20.3A  
05/30/2018 19:45   EST,12.73P  ,446P  ,19.5A  
05/30/2018 20:00   EST,12.73P  ,446P  ,19.0A  
05/30/2018 20:15   EST,12.73P  ,446P  ,19.8A  
05/30/2018 20:30   EST,12.72P  ,442P  ,19.8A  
05/30/2018 20:45   EST,12.72P  ,442P  ,19.4A  
05/30/2018 21:00   EST,12.72P  ,442P  ,19.2A  
05/30/2018 21:15   EST,12.71P  ,438P  ,18.5A  
05/30/2018 21:30   EST,12.71P  ,438P  ,19.8A  
05/30/2018 21:45   EST,12.71P  ,438P  ,18.7A  
05/30/2018 22:00   EST,12.71P  ,438P  ,18.7A  
05/30/2018 22:15   EST,12.70P  ,433P  ,18.6A  
05/30/2018 22:30   EST,12.71P  ,438P  ,18.5A  
05/30/2018 22:45   EST,12.70P  ,433P  ,18.4A  
05/30/2018 23:00   EST,12.70P  ,433P  ,19.0A  
05/30/2018 23:15   EST,12.70P  ,433P  ,18.6A  
05/30/2018 23:30   EST,12.70P  ,433P  ,18.8A  
05/30/2018 23:45   EST,12.70P  ,433P  ,18.1A  